code,time,buy_no,sell_no,price,vol,amount
000584,93804890,1129915,1142384,6.41,2,1282
000584,93804890,1130166,1142384,6.41,4,2564
000584,93805080,1142800,1068596,6.42,3,1926
000584,93811010,1152408,1068596,6.42,13,8346
000584,93811010,1152408,1075559,6.42,5,3210
000584,93811010,1152408,1109886,6.42,100,64200
000584,93811010,1152408,1117410,6.42,3,1926
000584,93811010,1152408,1144314,6.42,17,10914
000584,93811010,1152408,947344,6.43,1,643
000584,93811010,1152408,947372,6.43,4,2572
000584,93841170,1134731,1197104,6.41,1,641
000584,93841170,1142251,1197104,6.41,1,641
000584,93841170,1154415,1197104,6.41,1,641
000584,93841170,1168163,1197104,6.41,1,641
000584,93841170,1188587,1197104,6.41,5,3205
000584,93841180,1197113,1197104,6.41,8,5128
000584,93841390,1197386,1197104,6.41,1,641
000584,93842160,1198339,1185372,6.42,1,642
000584,93852960,1214472,947372,6.43,10,6430
000584,93853770,1198341,1215446,6.42,1,642
000584,93853770,1198383,1215446,6.42,1,642
000584,93853770,1199194,1215446,6.42,1,642
000584,93853770,1199441,1215446,6.42,1,642
000584,93853770,1202925,1215446,6.42,2,1284
000584,93853770,1202930,1215446,6.42,1,642
000584,93853770,1206839,1215446,6.42,1,642
000584,93853770,1208515,1215446,6.42,1,642
000584,93902110,1227375,1215446,6.42,27,17334
000584,93902110,1227375,947372,6.43,14,9002
000584,93902110,1227375,956502,6.43,3,1929
000584,93902110,1227375,1013010,6.43,15,9645
000584,93902110,1227375,1100004,6.43,33,21219
000584,93907560,1227375,1235296,6.43,63,40509
000584,93910160,1238695,907746,6.44,8,5152
000584,93911290,1227375,1240283,6.43,25,16075
000584,93911770,1227375,1240976,6.43,206,132458
000584,93911770,1229419,1240976,6.43,1,643
000584,93911770,1229422,1240976,6.43,1,643
000584,93911770,1228679,1240976,6.42,9,5778
000584,93911770,1230989,1240976,6.42,42,26964
000584,93912370,1230989,1241809,6.42,1,642
000584,93912510,1230989,1242144,6.42,1,642
000584,93912540,1230989,1242192,6.42,1,642
000584,93915270,1230989,1245870,6.42,1,642
000584,93915500,1230989,1246277,6.42,1,642
000584,93915540,1230989,1246364,6.42,1,642
000584,93918360,1230989,1250396,6.42,1,642
000584,93918550,1230989,1250697,6.42,1,642
000584,93918720,1230989,1250978,6.42,1,642
000584,93921430,1230989,1255139,6.42,2,1284
000584,93921450,1255181,1250861,6.43,1,643
000584,93921600,1230989,1255408,6.42,2,1284
000584,93921740,1230989,1255695,6.42,2,1284
000584,93924300,1230989,1259477,6.42,2,1284
000584,93924470,1230989,1259733,6.42,2,1284
000584,93924500,1230989,1259766,6.42,2,1284
000584,93927380,1230989,1263730,6.42,2,1284
000584,93927440,1230989,1263833,6.42,2,1284
000584,93927520,1230989,1264067,6.42,2,1284
000584,93927550,1230989,1264108,6.42,2,1284
000584,93930460,1230989,1269318,6.42,1,642
000584,93933330,1273798,1263282,6.43,10,6430
000584,93933330,1273798,907746,6.44,2,1288
000584,93933330,1273798,920811,6.44,3,1932
000584,93933360,1230989,1273852,6.42,1,642
000584,93933560,1230989,1274250,6.42,6,3852
000584,93933720,1230989,1274550,6.42,6,3852
000584,93933990,1230989,1275041,6.42,1,642
000584,93933990,1239875,1275041,6.42,2,1284
000584,93933990,1274117,1275041,6.42,3,1926
000584,93934570,1274117,1275953,6.42,6,3852
000584,93934890,1274117,1276415,6.42,1,642
000584,93937260,1280201,1276415,6.42,5,3210
000584,93937260,1280201,1278670,6.42,3,1926
000584,93937270,1280201,1280214,6.43,22,14146
000584,93945570,1292956,1283751,6.42,1,642
000584,93945570,1292956,1291246,6.42,15,9630
000584,93945580,1292956,1292965,6.43,14,9002
000584,93954220,1299672,1306190,6.42,1,642
000584,93955360,1299672,1307967,6.42,19,12198
000584,93957430,1308255,1310382,6.42,1,642
000584,94000300,1308255,1314852,6.42,1,642
000584,94000810,1315806,1301746,6.43,2,1286
000584,94004440,1308255,1321192,6.42,1,642
000584,94009300,1308255,1328103,6.42,1,642
000584,94013270,1334041,1301746,6.43,5,3215
000584,94015040,1308255,1336337,6.42,15,9630
000584,94025360,1231779,1351815,6.41,16,10256
000584,94025360,1283200,1351815,6.41,2,1282
000584,94025360,1297221,1351815,6.41,1,641
000584,94025360,1297222,1351815,6.41,1,641
000584,94027410,1354294,1336337,6.42,16,10272
000584,94041140,1372456,1336337,6.42,2,1284
000584,94042880,1374713,1336337,6.42,67,43014
000584,94043360,1374713,1375314,6.42,33,21186
000584,94048610,1374118,1382057,6.41,3,1923
000584,94049380,1383096,1382057,6.41,3,1923
000584,94059130,1152258,1395950,6.4,8,5120
000584,94059130,1198516,1395950,6.4,1,640
000584,94059130,1358748,1395950,6.4,7,4480
000584,94100280,1397237,1377213,6.42,2,1284
000584,94108570,1408361,1377213,6.42,5,3210
000584,94128550,1436018,1377213,6.42,7,4494
000584,94150620,1464741,1377213,6.42,2,1284
000584,94156030,1471772,1377213,6.42,1,642
000584,94204510,1482903,1377213,6.42,4,2568
000584,94204510,1482903,1394372,6.42,26,16692
000584,94205310,1483815,1394372,6.42,10,6420
000584,94205740,1484316,1394372,6.42,8,5136
000584,94206240,1484946,1394372,6.42,6,3852
000584,94206240,1484946,1397670,6.42,5,3210
000584,94209100,1488519,1414414,6.42,1,642
000584,94209100,1488521,1414414,6.42,1,642
000584,94209210,1488651,1414414,6.42,5,3210
000584,94209220,1488662,1414414,6.42,2,1284
000584,94209370,1488890,1414414,6.42,10,6420
000584,94209370,1488890,1436605,6.42,30,19260
000584,94209370,1488890,1463599,6.42,3,1926
000584,94209480,1489055,1463599,6.42,1,642
000584,94209560,1489144,1463599,6.42,1,642
000584,94223580,1506713,1301746,6.43,3,1929
000584,94226850,1510637,1301746,6.43,1,643
000584,94229610,1514581,1301746,6.43,1,643
000584,94231290,1516666,1301746,6.43,10,6430
000584,94236550,1523584,1301746,6.43,43,27649
000584,94238630,1495111,1526443,6.42,1,642
000584,94238630,1496347,1526443,6.42,2,1284
000584,94238630,1500154,1526443,6.42,7,4494
000584,94238630,1510107,1526443,6.42,1,642
000584,94238630,1526451,1526443,6.42,4,2568
000584,94239390,1527371,1301746,6.43,10,6430
000584,94245590,1535583,1301746,6.43,1,643
000584,94248580,1539954,1301746,6.43,12,7716
000584,94251760,1530837,1544459,6.42,1,642
000584,94254240,1547551,1301746,6.43,6,3858
000584,94255140,1548896,1301746,6.43,2,1286
000584,94255140,1548896,1335174,6.43,1,643
000584,94257180,1530837,1551077,6.42,14,8988
000584,94257180,1535172,1551077,6.42,1,642
000584,94257180,1535186,1551077,6.42,12,7704
000584,94257180,1535198,1551077,6.42,1,642
000584,94257260,1551162,1551077,6.42,2,1284
000584,94257260,1551162,1335174,6.43,3,1929
000584,94257300,1551217,1335174,6.43,6,3858
