code,time,price,vol,type,order_type,order_no
000584,93103220,6.37,43,2,1,398759
000584,93103260,6.36,2,2,1,398862
000584,93103260,6.36,6,2,1,398869
000584,93104110,6.38,1,2,2,400902
000584,93104170,6.99,63,2,2,400995
000584,93104510,6.38,78,2,1,401535
000584,93104960,6.38,1,2,2,402228
000584,93106740,6.43,20,2,2,405409
000584,93106980,6.38,40,2,2,405904
000584,93110930,6.39,51,2,1,412973
000584,93114440,6.37,10,2,1,419188
000584,93115310,6.38,1,2,1,420701
000584,93121150,6.95,10,2,2,430828
000584,93124350,6.4,19,2,2,437441
000584,93128430,6.42,10,2,2,446325
000584,93128570,6.43,20,2,2,446622
000584,93128780,6.38,30,2,2,447002
000584,93129150,6.48,25,2,2,447730
000584,93130620,6.2,100,2,1,450331
000584,93131180,6.46,4,2,2,451525
000584,93131290,6.39,1,2,2,451740
000584,93132070,6.38,55,2,2,453293
000584,93132570,6.38,20,2,2,454376
000584,93135570,6.38,1,2,2,460666
000584,93136220,6.38,6,2,2,461801
000584,93136690,6.38,7,2,1,462831
000584,93139140,6.37,2,2,1,467455
000584,93139190,6.37,2,2,1,467544
000584,93140110,6.6,40,2,2,469562
000584,93141300,6.38,8,2,1,471723
000584,93142180,6.37,6,2,2,473136
000584,93142530,6.5,3,2,2,473973
000584,93144290,6.38,1,2,1,477676
000584,93144310,6.38,2,2,1,477708
000584,93144360,6.38,1,2,1,477771
000584,93145230,6.37,1,2,1,479285
000584,93146190,6.38,6,2,2,481308
000584,93148220,6.38,1,2,1,484813
000584,93148220,6.38,2,2,1,484842
000584,93149080,6.4,1,2,2,487006
000584,93149110,6.47,26,2,2,487064
000584,93149750,6.98,40,2,2,488201
000584,93150570,6.48,20,2,2,489507
000584,93151320,6.5,10,2,2,490926
000584,93153110,6.42,48,2,2,494677
000584,93153260,6.35,20,2,2,494849
000584,93154160,6.37,3,2,1,496245
000584,93154160,6.37,3,2,1,496246
000584,93154160,6.37,4,2,1,496262
000584,93154170,6.38,2,2,1,496272
000584,93154170,6.38,2,2,1,496274
000584,93154170,6.38,1,2,1,496276
000584,93154170,6.38,4,2,1,496278
000584,93154170,6.37,16,2,1,496289
000584,93154220,6.38,5,2,1,496365
000584,93154230,6.37,32,2,1,496388
000584,93154230,6.38,2,2,1,496389
000584,93155550,6.37,15,2,1,499372
000584,93156940,6.36,1,2,2,501772
000584,93157100,6.38,2,2,1,502062
000584,93157100,6.38,1,2,1,502064
000584,93157100,6.38,1,2,1,502066
000584,93157100,6.38,1,2,1,502068
000584,93157210,6.38,4,2,1,502248
000584,93157210,6.38,2,2,1,502250
000584,93157990,6.6,193,2,2,503844
000584,93158870,6.38,43,2,1,505307
000584,93200470,6.38,1,2,1,508700
000584,93200470,6.38,5,2,1,508705
000584,93200810,6.38,11,2,2,509619
000584,93205260,6.43,1,2,1,518453
000584,93206280,6.39,37,2,1,520456
000584,93207890,6.13,81,2,1,524289
000584,93208260,6.58,25,2,2,524910
000584,93208670,6.39,10,2,2,525506
000584,93209840,6.38,1,2,1,527936
000584,93209850,6.38,1,2,1,527980
000584,93209870,6.38,1,2,1,528018
000584,93209910,6.38,1,2,1,528136
000584,93210040,6.38,1,2,1,528424
000584,93210140,6.38,4,2,1,528635
000584,93210160,6.38,1,2,1,528660
000584,93210220,6.38,1,2,1,528784
000584,93210240,6.38,2,2,1,528837
000584,93210250,6.38,1,2,1,528850
000584,93210320,6.38,1,2,1,529005
000584,93210460,6.38,1,2,1,529245
000584,93210830,6.38,1,2,1,529902
000584,93211420,6.39,136,2,1,531073
000584,93212140,6.38,1,2,1,532276
000584,93212350,6.39,1,2,1,532807
000584,93212350,6.39,1,2,1,532811
000584,93212890,6.34,173,2,1,534219
000584,93213090,6.39,13,2,2,534631
000584,93214650,6.38,3,2,1,537601
000584,93215180,6.39,1,2,1,538649
000584,93217080,6.4,19,2,2,542674
000584,93218300,6.99,12,2,2,544740
000584,93219560,6.43,12,2,2,547526
000584,93222320,6.43,130,2,2,552796
000584,93227190,6.28,20,2,1,561190
000584,93230020,6.39,10,2,2,566499
000584,93231840,6.5,3,2,2,570103
000584,93232340,6.38,10,2,2,570770
000584,93233170,6.39,1,2,1,572273
000584,93233170,6.39,1,2,1,572275
000584,93233170,6.39,1,2,1,572277
000584,93233170,6.39,1,2,1,572278
000584,93233240,6.38,28,2,1,572407
000584,93236320,6.39,3,2,1,578341
000584,93236320,6.39,1,2,1,578342
000584,93236330,6.39,2,2,2,578383
000584,93238540,6.46,16,2,2,582666
000584,93238640,6.24,10,2,1,582884
000584,93238760,6.4,8,2,1,583120
000584,93239800,6.4,10,2,2,585278
000584,93241630,6.4,10,2,2,588596
000584,93242050,6.38,13,2,1,589233
000584,93244490,6.99,14,2,2,593773
000584,93245300,6.39,2,2,1,595070
000584,93246000,6.58,100,2,2,596539
000584,93250070,6.48,200,2,2,604146
000584,93250200,6.36,10,2,1,604317
000584,93255390,6.99,2,2,1,613826
000584,93256010,6.39,1,2,1,614789
000584,93256020,6.39,1,2,1,614795
000584,93256030,6.44,40,2,2,614819
000584,93256250,6.39,1,2,1,615101
000584,93256290,6.39,1,2,1,615160
000584,93256350,6.39,1,2,1,615250
000584,93256450,6.39,1,2,1,615404
000584,93256480,6.39,1,2,1,615482
000584,93256520,6.39,1,2,1,615544
000584,93256530,6.39,1,2,1,615550
000584,93256580,6.39,1,2,1,615672
000584,93257070,6.39,1,2,1,616424
000584,93259360,6.67,3,2,2,620875
000584,93301450,6.39,1,2,1,625406
000584,93302760,6.4,100,2,2,627745
000584,93303510,6.98,5,2,2,629101
000584,93303550,6.38,2,2,1,629174
000584,93303660,6.4,8,2,1,629528
000584,93306100,6.89,3,2,2,634168
000584,93308390,6.44,10,2,2,638663
000584,93308770,6.48,12,2,1,639248
000584,93308800,6.4,10,2,1,639277
000584,93309190,6.39,2,2,1,639889
000584,93309240,6.39,2,2,1,639979
000584,93309770,6.4,13,2,1,641169
000584,93311190,6.45,10,2,2,644009
000584,93311530,6.37,76,2,1,644674
000584,93311990,6.4,60,2,2,645371
000584,93312200,6.39,31,2,1,645763
000584,93312600,6.42,10,2,2,646722
000584,93315100,6.4,4,2,1,651242
000584,93315100,6.4,6,2,1,651244
000584,93315100,6.4,10,2,1,651246
000584,93315160,6.4,6,2,1,651403
000584,93315160,6.4,3,2,1,651405
000584,93315160,6.39,1,2,1,651422
000584,93318170,6.4,3,2,1,656775
000584,93318170,6.4,8,2,1,656777
000584,93320150,6.4,100,2,2,660721
000584,93320240,6.36,10,2,1,660853
000584,93320340,6.5,9,2,2,661010
000584,93321860,6.39,66,2,2,663810
